iter	Passed	Remaining
0	0	92
1	1	80
2	2	75
3	3	72
4	3	70
5	4	67
6	5	66
7	5	68
8	6	67
9	7	65
10	7	64
11	8	62
12	9	62
13	10	62
14	11	62
15	12	63
16	12	63
17	13	62
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	18	57
24	19	58
25	20	59
26	22	61
27	23	61
28	24	60
29	25	59
30	26	58
31	27	58
32	28	57
33	28	56
34	29	55
35	30	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	42	42
50	42	41
51	44	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	35
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	30
64	55	30
65	57	29
66	57	28
67	58	27
68	59	26
69	60	25
70	62	25
71	63	24
72	64	23
73	65	22
74	65	21
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	77	9
89	78	8
90	79	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	87	0
